name,year,revenue,employee,sector,job_title,location,salary_est
Ameren,1904,$5 to $10 billion (USD),5001 to 10000 Employees,"Energy, Mining & Utilities",Senior Business Intelligence Engineer,Remote,NaN
Ubisoft,1986,$1 to $5 billion (USD),10000+ Employees,Media & Communication,AI Engineer – XDefiant,"San Francisco, CA",$97K - $155K (Glassdoor est.)
"Zoom Video Communications, Inc.",2011,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,Audio AI Engineer,"San Francisco, CA",$99K (Employer est.)
CooperSurgical,1990,Unknown / Non-Applicable,Unknown,Manufacturing,Data Science,California,$116K - $193K (Employer est.)
The College Board,1900,$500 million to $1 billion (USD),1001 to 5000 Employees,Education,Data Scientist (Engineer II),Remote,$110K - $115K (Employer est.)
Colgate-Palmolive,1806,$10+ billion (USD),10000+ Employees,Manufacturing,"Director, Global Data Platforms","Piscataway, NJ",$158K - $233K (Employer est.)
Snowflake,2012,$1 to $5 billion (USD),1001 to 5000 Employees,Information Technology,"Manager, Data Science - Streamlit","San Mateo, CA",$180K - $276K (Employer est.)
ServiceMaster,1929,$1 to $5 billion (USD),1001 to 5000 Employees,Management & Consulting,Data Scientist,Remote,NaN
Volkswagen Group of America,1955,$5 to $25 million (USD),1001 to 5000 Employees,Manufacturing,Data Engineer,Remote,$78K - $113K (Employer est.)
Smith & Associates,1984,$1 to $5 billion (USD),501 to 1000 Employees,Information Technology,Junior AI/ML Engineer,"Houston, TX",$43K - $64K (Glassdoor est.)
Megaport,2013,Unknown / Non-Applicable,201 to 500 Employees,Telecommunications,AI/ML Engineer,Remote,NaN
Cars.com,1998,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,Data Engineer,"Chicago, IL",$90K - $131K (Glassdoor est.)
Deloitte,1850,$10+ billion (USD),10000+ Employees,Financial Services,Junior Data Engineer,"Austin, TX",$76K - $111K (Glassdoor est.)
Turvo Inc,2014,Unknown / Non-Applicable,201 to 500 Employees,Information Technology,Data Specialist,Remote,$70K - $130K (Employer est.)
Arkansas Blue Cross and Blue Shield,NaN,NaN,NaN,NaN,Data Engineer,Oklahoma,NaN
"Health Services Advisory Group, Inc.",1948,$1 to $5 billion (USD),1001 to 5000 Employees,Insurance,Analyst I,Remote,$70K - $75K (Employer est.)
Driscoll Health,NaN,Unknown / Non-Applicable,Unknown,Healthcare,Data Scientist,"Corpus Christi, TX",$71K - $115K (Glassdoor est.)
Forward,2016,Unknown / Non-Applicable,Unknown,Healthcare,"Software Engineer, Data Science","San Francisco, CA",$113K - $169K (Glassdoor est.)
LTK,NaN,NaN,NaN,NaN,Data Engineer,Remote,$250K (Employer est.)
Alltech Inc,1980,Unknown / Non-Applicable,1001 to 5000 Employees,Agriculture,Data Engineer,"Nicholasville, KY",NaN
Sportradar AG,2001,Unknown / Non-Applicable,1001 to 5000 Employees,Information Technology,Data Engineer,Remote,NaN
Royal Credit Union,1964,$1 to $5 billion (USD),501 to 1000 Employees,Financial Services,Data Engineer,"Eau Claire, WI",$92K - $105K (Employer est.)
Spotify,2006,Unknown / Non-Applicable,5001 to 10000 Employees,Information Technology,Senior Data Engineer,"New York, NY",$121K - $170K (Glassdoor est.)
